"","rowname"
"365","isoband"
"366","ISOcodes"
"367","iterators"
"368","janeaustenr"
"369","janitor"
"370","jpeg"
"371","jqr"
"372","jquerylib"
"373","jsonify"
"374","jsonlite"
"375","jsonvalidate"
"376","jtools"
"377","kableExtra"
"378","keras"
"379","kernlab"
"380","KernSmooth"
"381","keyring"
"382","km.ci"
"383","KMsurv"
"384","knitcitations"
"385","knitr"
"386","koRpus"
"387","koRpus.lang.en"
"388","ks"
"389","labeling"
"390","labelled"
"391","Lahman"
"392","lambda.r"
"393","later"
"394","latex2exp"
"395","lattice"
"396","latticeExtra"
"397","lava"
"398","lavaan"
"399","lazyeval"
"400","lda"
"401","ldatuning"
"402","leafem"
"403","leaflet"
"404","leaflet.providers"
"405","leafsync"
"406","leaps"
"407","learnr"
"408","lest"
"409","lexicon"
"410","lfe"
"411","lhs"
"412","libcoin"
"413","lifecycle"
"414","likert"
"415","lintr"
"416","listenv"
"417","lme4"
"418","lmerTest"
"419","lmom"
"420","Lmoments"
"421","lmtest"
"422","lobstr"
"423","locfit"
"424","loo"
"425","LowRankQP"
"426","lpSolve"
"427","lpSolveAPI"
"428","ltm"
"429","lubridate"
"430","lwgeom"
"431","magick"
"432","magrittr"
"433","manipulateWidget"
"434","mapdeck"
"435","mapproj"
"436","maps"
"437","maptools"
"438","marginaleffects"
"439","margins"
"440","markdown"
"441","markmyassignment"
"442","MASS"
"443","MatchIt"
"444","mathjaxr"
"445","Matrix"
"446","matrixcalc"
"447","MatrixModels"
"448","matrixStats"
"449","maxLik"
"450","maxstat"
"451","mboxr"
"452","mc2d"
"453","mclust"
"454","mcmc"
"455","MCMCpack"
"456","mcmcplots"
"457","memoise"
"458","MetBrewer"
"459","mfx"
"460","mgcv"
"461","mgsub"
"462","mice"
"463","microbenchmark"
"464","mime"
"465","mindr"
"466","miniUI"
"467","minqa"
"468","mirt"
"469","misc3d"
"470","miscTools"
"471","mitools"
"472","mlogit"
"473","mltools"
"474","mnonr"
"475","mnormt"
"476","MNP"
"477","mockery"
"478","modeldata"
"479","ModelMetrics"
"480","modelr"
"481","modelsummary"
"482","modeltime"
"483","modeltime.ensemble"
"484","modeltime.resample"
"485","modeltools"
"486","moderndive"
"487","moments"
"488","moonBook"
"489","mosaicCore"
"490","mschart"
"491","msm"
"492","multcomp"
"493","multcompView"
"494","multicool"
"495","multilinguer"
"496","multiwayvcov"
"497","munsell"
"498","MVN"
"499","mvtnorm"
"500","mycor"
"501","naniar"
"502","ndtv"
"503","network"
"504","networkD3"
"505","networkDynamic"
"506","nFactors"
"507","nleqslv"
"508","nlme"
"509","nloptr"
"510","NLP"
"511","nnet"
"512","nonnest2"
"513","norm"
"514","nortest"
"515","numDeriv"
"516","nycflights13"
"517","officer"
"518","oglmx"
"519","olsrr"
"520","openssl"
"521","openxlsx"
"522","operator.tools"
"523","optimx"
"524","optmatch"
"525","packrat"
"526","pacman"
"527","padr"
"528","pagedown"
"529","paletteer"
"530","palmerpenguins"
"531","pander"
"532","panelView"
"533","papaja"
"534","parallelly"
"535","parameters"
"536","parsedate"
"537","parsermd"
"538","parsnip"
"539","partykit"
"540","patchwork"
"541","pbapply"
"542","pbivnorm"
"543","pbkrtest"
"544","pBrackets"
"545","pcaPP"
"546","pcse"
"547","pdftools"
"548","performance"
"549","PerformanceAnalytics"
"550","permute"
"551","phosphoricons"
"552","pillar"
"553","pingr"
"554","pinp"
"555","pkgbuild"
"556","pkgconfig"
"557","pkgload"
"558","plm"
"559","plogr"
"560","plot3D"
"561","plotly"
"562","plotrix"
"563","plotwidgets"
"564","pls"
"565","plyr"
"566","png"
"567","polyclip"
"568","polycor"
"569","polynom"
"570","postcards"
"571","posterdown"
"572","posterior"
"573","ppcor"
"574","pracma"
"575","praise"
"576","prediction"
"577","prettydoc"
"578","prettyunits"
"579","prismatic"
"580","pROC"
"581","processx"
"582","prodlim"
"583","profmem"
"584","progress"
"585","progressr"
"586","proj4"
"587","projpred"
"588","promises"
"589","prophet"
"590","proto"
"591","protolite"
"592","proxy"
"593","pryr"
"594","ps"
"595","pscl"
"596","psych"
"597","purrr"
"598","qap"
"599","qdapRegex"
"600","qdapTools"
"601","qpdf"
"602","qrcode"
"603","quadprog"
"604","Quandl"
"605","quanteda"
"606","quantmod"
"607","quantreg"
"608","R.cache"
"609","R.methodsS3"
"610","R.oo"
"611","R.utils"
"612","r2d3"
"613","R2jags"
"614","r2pptx"
"615","R2WinBUGS"
"616","R6"
"617","randomForest"
"618","randomizr"
"619","ranger"
"620","rapidjsonr"
"621","rappdirs"
"622","rapportools"
"623","raster"
"624","rbibutils"
"625","rcartocolor"
"626","rcmdcheck"
"627","RcmdrMisc"
"628","RColorBrewer"
"629","Rcpp"
"630","RcppArmadillo"
"631","RcppEigen"
"632","RcppParallel"
"633","RcppProgress"
"634","RcppRoll"
"635","RcppTOML"
"636","rcrossref"
"637","RCurl"
"638","Rdpack"
"639","reactable"
"640","reactR"
"641","readbitmap"
"642","readr"
"643","readstata13"
"644","readxl"
"645","recipes"
"646","RefManageR"
"647","regclass"
"648","reghelper"
"649","regions"
"650","registry"
"651","rematch"
"652","rematch2"
"653","remotes"
"654","renv"
"655","reporttools"
"656","repr"
"657","reprex"
"658","reshape"
"659","reshape2"
"660","ResourceSelection"
"661","restorepoint"
"662","resumer"
"663","reticulate"
"664","rex"
"665","rgdal"
"666","rgenoud"
"667","rgeos"
"668","rgl"
"669","RgoogleMaps"
"670","rhandsontable"
"671","riingo"
"672","rio"
"673","RItools"
"674","rjags"
"675","rJava"
"676","rjson"
"677","RJSONIO"
"678","rlang"
"679","rle"
"680","rlemon"
"681","rlist"
"682","rmapshaper"
"683","rmarkdown"
"684","rmdfiltr"
"685","rmdformats"
"686","rmdpartials"
"687","Rmisc"
"688","Rmpfr"
"689","RMySQL"
"690","rnaturalearth"
"691","rnaturalearthdata"
"692","rngtools"
"693","robustbase"
"694","ROCR"
"695","rootSolve"
"696","roxygen2"
"697","rpart"
"698","rpart.plot"
"699","RPostgreSQL"
"700","rprojroot"
"701","rsample"
"702","rsconnect"
"703","RSelenium"
"704","RSiena"
"705","RSQLite"
"706","rstan"
"707","rstanarm"
"708","rstantools"
"709","rstatix"
"710","rstudioapi"
"711","rticles"
"712","Rttf2pt1"
"713","rtweet"
"714","RUnit"
"715","runjags"
"716","rvcheck"
"717","RVerbalExpressions"
"718","rversions"
"719","rvest"
"720","rworldmap"
"721","s2"
"722","sampleSelection"
"723","sandwich"
"724","sass"
"725","scales"
"726","scatterplot3d"
"727","scico"
"728","seasonal"
"729","Sejong"
"730","selectr"
"731","semver"
"732","separationplot"
"733","seriation"
"734","servr"
"735","sessioninfo"
"736","sf"
"737","sfheaders"
"738","sfsmisc"
"739","shades"
"740","shape"
"741","shiny"
"742","shinyBS"
"743","shinyjs"
"744","shinystan"
"745","shinytest"
"746","shinythemes"
"747","shinyWidgets"
"748","showimage"
"749","showtext"
"750","showtextdb"
"751","signal"
"752","simhelpers"
"753","sjlabelled"
"754","sjmisc"
"755","sjPlot"
"756","sjstats"
"757","skimr"
"758","slam"
"759","slider"
"760","smbinning"
"761","sna"
"762","snakecase"
"763","snow"
"764","SnowballC"
"765","sodium"
"766","sourcetools"
"767","sp"
"768","spam"
"769","sparklyr"
"770","SparseM"
"771","spatial"
"772","spatialwidget"
"773","spduration"
"774","splitstackshape"
"775","sqldf"
"776","SQUAREM"
"777","srvyr"
"778","stacks"
"779","StanHeaders"
"780","stargazer"
"781","stars"
"782","statmod"
"783","statnet"
"784","statnet.common"
"785","statsExpressions"
"786","stevemisc"
"787","steveproj"
"788","stevetemplates"
"789","stinepack"
"790","stm"
"791","stopwords"
"792","stringdist"
"793","stringi"
"794","stringr"
"795","striprtf"
"796","styler"
"797","summarytools"
"798","suncalc"
"799","superdiag"
"800","survey"
"801","survival"
"802","survminer"
"803","survMisc"
"804","svd"
"805","svglite"
"806","sweep"
"807","swirl"
