"","ELEC_DATE","ELEC_TYPE","CITY","DISTRICT","ELEC_POP","ELEC_VOTER","ELEC_RESIGN","ELEC_TURNOUT","ELEC_REASON","ELEC_REASON_RE","ELEC_REASON_DES","ELEC_PARTY","ELEC_ELECTED","ELEC_GENDER","ELEC_SHARE","ELEC_NUMBER","RIVAL_PARTY","RIVAL_NAME","RIVAL_GENDER","RIVAL_SHARE","ELEC_COMPETE","ELEC_COMPETE1","ELEC_COMPETE2","ELEC_COMPETE3","ELEC_CANDINUM","ELEC_EFFECNUM","PRE_POP","PRE_VOTER","PRE_RESIGN","PRE_TURNOUT","PRE_PARTY","PRE_ELECTED","PRE_SHARE","PRE_RIVAL_SHARE","PRE_COMPETE","PRE_CANDINUM","POST_POP","POST_VOTER","POST_RESIGN","POST_TURNOUT","POST_PARTY","POST_ELECTED","POST_SHARE","POST_RIVAL_SHARE","POST_COMPETE","POST_CANDINUM","GENERAL_DATE","GENERAL_DIFF","GENERAL_TENURE","PRESIDENT_DATE","PRESIDENT_DIFF","LOCAL_DATE","LOCAL_DIFF","NATL_DATE","NATL_DIFF","PRESIDENT_TENURE","PRESIDENT_POSITIVE","PRESIDENT_NEGATIVE","REGIONALISM","RULINGPARTY","RULINGAPPROVAL","PRE_ELEC_CANDI_DIFF","POST_ELEC_CANDI_DIFF","PRE_ELEC_SHIFT","POST_ELEC_SHIFT","PRE_ELEC_COMPETE_DIFF","POST_ELEC_COMPETE_DIFF","PRE_ELEC_SHIFT2","PRESIDENT","ELEC_RULING","ELEC_OPPOSITION","PREVOTE","METROPOL","CPI_grth","CPI_grthyearly","CPI_yearly"
"11",1993-06-11,"국회의원","경상북도","예천군",51906,37023,14883,71.3270142180095,"사퇴",2,"재산축적의혹으로 사직(대한민국선거사 5집, p.417)","민주자유당","반형식","남",48.44,2,"민주당","안희대","남",30.15,62.2419488026424,18.29,0.232726810026721,0.767273189973279,4,4,53377,41017,12360,76.84,"민주자유당","유학성",60.73,20.62,33.9535649596575,3,NA,NA,NA,NA,"신한국당",NA,NA,NA,NA,NA,1996-04-11,1035,2,1997-12-18,1651,1995-06-27,746,1995-06-27,746,4,86.5,0.9,"TK",1,26.6,-1,-4,1,NA,28.2883838429849,62.2419488026424,1,"김영삼",1,0,0,3,4.8,4.8,49.4
"12",1993-08-12,"국회의원","대구시","동구을",111179,66916,44263,60.1876253609045,"사퇴",2,"재산축적의혹으로 사직(대한민국선거사 5집, p.420)","무소속","서훈","남",45.14,1,"민주자유당","노동일","남",27.23,60.3234381922906,17.91,0.247478236838469,0.752521763161531,4,4,104451,70954,33497,67.93,"민주자유당","박준규",50.07,42.59,85.0609147193929,3,122741,69657,53084,56.75,"무소속","서훈",30.27,29.12,96.2008589362405,7,1996-04-11,973,2,1997-12-18,1589,1995-06-27,684,1995-06-27,684,4,79.2,4.2,"TK",0,26.6,-1,3,1,1,-24.7374765271022,-35.8774207439499,2,"김영삼",1,0,0,1,4.4,4.8,49.4
"13",1993-08-12,"국회의원","강원도","춘천시",123853,72469,51384,58.512107094701,"사망",1,"대한민국선거사 5집, p.420","민주자유당","유종수","남",37.2,1,"민주당","유남선","남",33.71,90.6182795698925,3.49,0.0492173177266958,0.950782682273304,5,5,117987,88550,29437,75.05,"통일국민당","손승덕",43.46,37.45,86.1711919005983,6,NA,NA,NA,NA,"신한국당(춘천갑)/자유민주연합(춘천을)",NA,NA,NA,NA,NA,1996-04-11,973,2,1997-12-18,1589,1995-06-27,684,1995-06-27,684,4,79.2,4.2,"OTHERS",1,26.6,1,-5,1,NA,4.44708766929421,90.6182795698925,3,"김영삼",0,0,0,2,4.4,4.8,49.4
"14",1994-08-02,"국회의원","대구시","수성갑",137261,63583,73678,46.3226990915118,"당선무효",3,"특별범죄가중처벌법위반으로 피선거권상실(대한민국선거사 5집, p. 423)","신민당","현경자","여",55.74,1,"민주자유당","정창화","남",26.45,47.4524578399713,29.29,0.356369388003407,0.643630611996593,12,3,132847,89021,43826,67.01,"민주자유당","박철언",58.81,26,44.2101683387179,4,153807,94589,59218,61.5,"자유민주연합","박철언",53.34,23.67,44.3757030371204,9,1996-04-11,618,1,1997-12-18,1234,1995-06-27,329,1995-06-27,329,3,33.8,20,"TK",0,19.8,-8,-3,1,1,3.24228950125338,3.07675480285093,2,"김영삼",1,0,0,1,7.4,6.3,52.5
"15",1994-08-02,"국회의원","강원도","영월평창군",73069,46081,26988,63.0650481052156,"사망",1,"대한민국선거사 5집, p. 423","민주자유당","김기수","남",51.27,1,"민주당","신민선","남",19.1,37.2537546323386,32.17,0.457155037658093,0.542844962341907,5,5,75271,59659,15612,79.26,"민주자유당","심명보",46.63,26.1,55.9725498606048,5,72605,50135,22470,69.05,"신한국당","김기수",34.38,26.42,76.847004072135,11,1996-04-11,618,1,1997-12-18,1234,1995-06-27,329,1995-06-27,329,3,33.8,20,"OTHERS",1,19.8,0,6,0,1,-18.7187952282662,-39.5932494397964,1,"김영삼",0,0,0,3,7.4,6.3,52.5
"16",1994-08-02,"국회의원","경상북도","경주시",98865,49101,49764,49.6646942800789,"사망",1,"대한민국선거사 5집, p. 423","민주당","이상두","남",33.17,1,"민주자유당","임진출","여",32.11,96.8043412722339,1.06,0.0162377450980393,0.983762254901961,6,4,89230,67149,22081,75.25,"민주자유당","서수종",48.92,31.2,63.7775960752248,5,NA,NA,NA,NA,"무소속(경주시갑)/무소속(경주시을)",NA,NA,NA,NA,NA,1996-04-11,618,1,1997-12-18,1234,1995-06-27,329,1995-06-27,329,3,33.8,20,"TK",0,19.8,-1,-6,1,NA,33.0267451970091,96.8043412722339,2,"김영삼",1,0,0,2,7.4,6.3,52.5
"17",1997-03-05,"국회의원","인천시","서구",199035,74221,124814,37.2904263069309,"사망",1,"https://www.hankookilbo.com/News/Read/199701040089981270","새정치국민회의","조한천","남",57.27,1,"신한국당","조영장","남",32.43,56.6265060240964,24.84,0.276923076923077,0.723076923076923,3,3,193691,110198,83493,56.89,"새정치국민회의","조철구",31.1,28.97,93.1511254019293,6,193691,110198,83493,56.89,"새정치국민회의(서구강화갑)/새천년민주당(서구강화을)","조철구",34.17,31.22,91.3666959321042,NA,2000-04-13,1135,3,1997-12-18,288,1998-06-04,456,1997-12-18,288,0,14.6,33.3,"OTHERS",0,11.7,3,-3,1,1,-36.5246193778329,-34.7401899080078,4,"김영삼",0,0,0,1,4.5,4.4,60.1
"18",1997-03-05,"국회의원","경기도","수원시장안구",169346,55392,113954,32.7093642601538,"사망",1,"https://www.joongang.co.kr/article/3384931#home","자유민주연합","이태섭","남",51.96,4,"신한국당","이호정","남",28.92,55.6581986143187,23.04,0.28486646884273,0.71513353115727,6,3,168331,97943,70388,58.18,"자유민주연합","이병희",28.68,28.07,97.8730822873082,9,204583,106772,97811,52.19,"한나라당","박종희",40.41,35.72,88.3939618906211,NA,2000-04-13,1135,3,1997-12-18,288,1998-06-04,456,1997-12-18,288,0,14.6,33.3,"OTHERS",0,11.7,3,-6,1,1,-42.2148836729895,-32.7357632763024,4,"김영삼",0,0,0,2,4.5,4.4,60.1
"19",1997-07-24,"국회의원","경상북도","포항시북구",166075,104819,61256,63.1154598825832,"당선무효",3,"선거법위반으로 당선무효(https://www.donga.com/news/Politics/article/all/19970411/7246482/1)","무소속","박태준","남",45.68,4,"민주당","이기택","남",33.52,73.3800350262697,12.16,0.153535353535353,0.846464646464647,3,3,164962,112544,52418,68.22,"무소속","허화평",44.22,34.02,76.9335142469471,8,173013,107422,65591,62.09,"한나라당","이병석",63.53,30.47,47.9615929482134,3,2000-04-13,994,2,1997-12-18,147,1998-06-04,315,1997-12-18,147,0,8.7,72.6,"TK",0,11.7,5,0,1,1,-3.55347922067737,25.4184420780563,4,"김영삼",1,0,0,2,3.7,4.4,60.1
"20",1997-07-24,"국회의원","충청남도","예산군",77326,52935,24391,68.4569226392158,"당선무효",3,"12.12 및 5.18 관련으로 의원직상실(https://www.donga.com/news/article/all/19970417/7247980/1)","신한국당","오장섭","남",50.27,2,"자유민주연합","조종석","남",44.04,87.6069226178635,6.23,0.0660587424451278,0.933941257554872,2,2,78182,57805,20377,73.94,"자유민주연합","조정석",48.57,41.39,85.2172122709491,4,76534,49027,27507,64.06,"자유민주연합","오창섭",55.45,31.26,56.3751127141569,4,2000-04-13,994,2,1997-12-18,147,1998-06-04,315,1997-12-18,147,0,8.7,72.6,"CH",1,11.7,2,2,1,0,2.38971034691438,31.2318099037066,3,"김영삼",0,0,0,3,3.7,4.4,60.1
"21",1997-09-04,"국회의원","경기도","안양시만안구",180420,59763,120657,33.1243764549385,"사망",1,"https://news.kbs.co.kr/news/view.do?ncd=3776382","자유민주연합","김일주","남",56.14,1,"신한국당","박종근","남",30.23,53.8475240470253,25.91,0.299988421905754,0.700011578094246,3,3,179211,105335,73876,58.78,"자유민주연합","권수창",28.54,28.2,98.8086895585144,8,177356,94973,82383,53.55,"새천년민주당","이종걸",38.81,32.01,82.4787425921154,5,2000-04-13,952,2,1997-12-18,105,1998-06-04,273,1997-12-18,105,0,8.7,72.6,"OTHERS",0,11.7,5,2,1,1,-44.9611655114891,-28.6312185450901,4,"김영삼",0,0,0,2,4.2,4.4,60.1
"22",1997-12-28,"국회의원","광주시","동구",NA,NA,NA,NA,"사망",1,"신기하 의원이 대한항공 801편 추락 사고로 사망하여 광주 동구 의석이 궐석","새정치국민회의","이영일","남",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,104310,66085,38225,63.35,"새정치국민회의","신기하",89.9,6.53,7.26362625139043,2,93191,55198,37993,59.23,"새천년민주당","김경천",55.75,32.84,58.9058295964126,3,2000-04-13,837,2,2002-12-19,1817,1998-06-04,158,1998-06-04,158,4,8.7,72.6,"HONAM",1,40,1,2,NA,NA,NA,NA,NA,"김영삼",0,1,NA,1,6.6,4.4,60.1
"23",1998-04-02,"국회의원","부산시","서구",123740,56496,67244,45.6570227897204,"당선무효",3,"한보사태로 의원직 상실(https://www.joongang.co.kr/article/3579073#home)","한나라당","정문화","남",38.1,1,"무소속","곽정출","남",20.5,53.8057742782152,17.6,0.300341296928328,0.699658703071672,10,6,128454,82120,46334,63.93,"신한국당","홍인길",54.43,23.66,43.4686753628514,9,118712,67906,50806,57.2,"한나라당","정문화",48.34,20.2,41.7873396772859,6,2000-04-13,742,2,2002-12-19,1722,1998-06-04,63,1998-06-04,63,4,84.8,1.4,"PK",0,40,-1,-4,1,1,10.3370989153639,12.0184346009293,2,"김대중",0,1,0,1,8.8,7.5,64.6
"24",1998-04-02,"국회의원","대구시","달성군",94605,56223,38382,59.429205644522,"사직",1,"쌍용그룹복귀( https://www.donga.com/news/Economy/article/all/19980209/7320746/1)","한나라당","박근혜","여",62.5,1,"새정치국민회의","엄삼탁","남",37.5,60,25,0.25,0.75,2,2,83838,53538,30300,63.86,"신한국당","김석원",62.71,32.78,52.2723648540903,3,98776,62738,36038,63.52,"한나라당","박근혜",61.39,38.6,62.8766900146604,2,2000-04-13,742,2,2002-12-19,1722,1998-06-04,63,1998-06-04,63,4,84.8,1.4,"TK",0,40,1,0,1,1,7.72763514590974,-2.87669001466038,2,"김대중",0,1,0,1,8.8,7.5,64.6
